CONTRACT_ID,UPC,DESCRIPTION,CITY_COUNTY,MANAGER_EMAIL,CONSTRUCTION_COMPANY,ON_TIME_STATUS,ON_BUDGET_STATUS,CONTRACT_AWARD_AMOUNT,COST_OF_WORK_TO_DATE,ORIGINAL_SPECIFIED_COMPLETION_DATE
113248,113248,ROADWAY RECONSTRUCTION - CITYWIDE,Alexandria,rita.hockman@vdot.virginia.gov,Blythe Constr DBA-VA Paving,R,G,4009000,1729289,2020-11-21
113251,113251,RTE 15 BUS. SB - PRIMARY EXTENSION PAVEMENT OVERLAY,Warrenton,John.Price@VDOT.Virginia.gov,Superior Paving,R,R,65997,122065,2018-08-17
113254,113254,#SGR19LP - RT 29 BUS. SB - PRIMARY EXT PAVEMENT OVERLAY,Warrenton,John.Price@VDOT.Virginia.gov,Superior Paving,G,G,244562,196176,2018-12-21
113273,113273,Potomac Run Street Extension - ,York County,Keisha.Wilkins@vdot.virginia.gov,Excel Paving Corp.,R,G,99882,94887,2020-12-14
113247,113247,PHASE I - BUS 58 - RECONSTRUCTION (AUDUBON TO ARNETT),Danville,sharon.white@vdot.virginia.gov,Dunavant Engineering & Construction,G,G,1050698,0,2021-08-31
113250,113250,RTE 20 - PRIMARY EXTENSION PAVEMENT OVERLAY,Orange,Kim.Cameron@vdot.virginia.gov,"S.L. Williamson Company, Inc.",G,G,158014,0,2019-12-31
113253,113253,LED SIGNAL UPGRADES - COUNTYWIDE,Arlington County,Rita.Hockman@vdot.virginia.gov,"RE LEE Electric Co, Inc.",G,G,540000,162144,2023-09-08
113258,113258,Woodman Rd/Greenwood Rd. Roundabout (CN Only),Henrico County,brian.lokker@vdot.virginia.gov,Abernathy Construction Corp,G,G,3561238,3344433,2021-08-09
113283,113283,VAR LOC - RESURFACE,Hopewell,brian.lokker@vdot.virginia.gov,Lee Hy Paving Corporation,G,G,777720,531747,2020-06-30
113285,113285,STEWART AVE - RECONSTRUCTION,Hopewell,brian.lokker@vdot.virginia.gov,Virginia Concrete Construction Company,G,G,196070,196070,2020-08-28
113289,113289,IRISH STREET - RECONSTRUCTION,South Boston,sharon.white@vdot.virginia.gov,"J. Grey Walker Contracting, Inc.",G,G,532936,93332,2020-08-12
113306,113306,#SGR19LP - Primary EXT-Roanoke St-Tower Rd to Dunlap Dr,Christiansburg,Adam.Czesnowski@vdot.virginia.gov,Adams Construction Company,G,G,201142,184774,2019-06-30
113274,113274,Rural Add. - Oakwood Subdivision Streets,York County,Keisha.Wilkins@vdot.virginia.gov,Tristate Utilities,R,G,372366,354768,2020-12-23
113284,113284,PRINCE HENRY AVE & PELHAM ST -  RECONSTRUCTION ,Hopewell,brian.lokker@vdot.virginia.gov,"Simons Contracting Co., Inc.",G,G,414400,414000,2020-08-30
113287,113287,TOWNWIDE - TRAFFIC SIGNAL UPGRADES,Farmville,Sharon.White@VDOT.Virginia.gov,Town of Farmville,G,G,510000,199362,2019-10-31
113293,113293,Brookland Park Blvd Streetscape,Richmond,brian.lokker@vdot.virginia.gov,Simmons construction LLC,G,G,438753,300000,2020-05-20
113308,113308,Primary Extension - Lee Hwy FKEY 1201,Radford,Adam.Czesnowski@vdot.virginia.gov,Adams Construction,R,G,21647,21647,2019-05-29
113310,113310,Primary Extension - Rte 40 (Old Franklin Turnpike),Rocky Mount,Jessie.Nester@vdot.virginia.gov,Patterson Brothers Paving Inc.,R,G,338479,338479,2019-07-26
113312,113312,Primary Extension - Rte 122 (Booker T. Washington Hwy),Rocky Mount,Jessie.Nester@vdot.virginia.gov,Patterson Brothers Paving Inc,G,G,124855,124855,2019-08-26
113315,113315,"RTE 609 (Old Centralia, Rt 10-Thomas Dale HS) - SIDEWALK",Chesterfield County,Mike.Gray@vdot.virginia.gov,On Call,G,G,465000,465000,2020-04-23
113307,113307,#SGR19LP - Pri Ext-Roanoke St-Dunlap Dr to Mt Pleasant Rd,Christiansburg,Adam.Czesnowski@vdot.virginia.gov,Adams Construction Company,G,R,319371,390412,2019-06-30
113309,113309,,Radford,Adam.Czesnowski@vdot.virginia.gov,Adams Construction,R,G,53116,53116,2019-05-23
113311,113311,Primary Extension - Rte 116 (Lafayette Blvd),Roanoke,Cheryl.Becker@vdot.virginia.gov,Adams Construction,R,G,475000,333637,2019-06-30
113313,113313,Primary Extension - Rte 457 (E Commonwealth Boulevard),Martinsville,Jessie.Nester@vdot.virginia.gov,"Adams Construction Co., Inc.",G,G,104550,110654,2019-09-27
113318,113318,Primary Extension - Roanoke St - Mt Pleasant Rd to Woodland ,Christiansburg,Adam.Czesnowski@vdot.virginia.gov,Adams Construction Company,G,G,165145,144024,2019-06-30
113327,113327,SIMONS RUN - CONSTRUCT CONNECTOR ROAD,Campbell County,Sharon.White@VDOT.Virginia.gov,Counts and Dobyns,R,G,2332304,2354041,2020-10-30
113331,113331,PHASE II - BUS 58 - RECONSTRUCTION (ARNETT TO LOCUST),Danville,sharon.white@vdot.virginia.gov,Dunavant Engineering & Construction,G,G,652158,0,2021-08-31
113333,113333,Blue Ridge Road Path Phase 2B - Glasgow,Glasgow,Michael.Fulcher@VDOT.Virginia.gov,Randy Hostetter Excavating,G,G,319159,319465,2021-03-14
113316,113316,Primary Extension - W Main St - NB - FKEY 1188,Radford,Adam.Czesnowski@vdot.virginia.gov,Adams Construction,R,G,42614,42614,2019-05-23
113325,113325,GREENWAY DRIVE - RECONSTRUCTION,South Boston,sharon.white@vdot.virginia.gov,H.G. Reynolds Co.,G,G,135230,135230,2020-05-29
113328,113328,ROUTE 293 -  (MAIN STREET) - RECONSTRUCTION,Danville,sharon.white@vdot.virginia.gov,Virginia Carolina Paving Co.,G,G,578824,578824,2019-12-31
113332,113332,SOUTH UNION STREET - RECONSTRUCTION,Danville,sharon.white@vdot.virginia.gov,Virginia Carolina Paving Co Inc,G,G,499480,85426,2021-02-02
113433,113433,19 JEFF DAVIS HWY (S) - RESURFACING,Richmond,Michael.Campbell@vdot.virginia.gov,Allan Myesr Va Inc,G,G,375000,299942,2019-08-21
113472,113472,Suffolk Seaboard Coastline Trail Phase II,Nansemond County extinct - City of Suffolk (2006),John.Alcaide@vdot.virginia.gov,"Conrad Brothers of Virginia, Inc.",R,Y,977471,892201,2021-03-31
113477,113477,,Hopewell,James.Shepherd@vdot.virginia.gov,Lee Hy Paving Corporation,G,G,158718,158201,2019-07-31
113483,113483,#SGR20LP - RT 60 (SEMMES AV) (S) - RESURFACING,Richmond,Michael.Campbell@vdot.virginia.gov,Allan Myers VA Inc,G,G,189000,153673,2019-08-21
113432,113432,19 JEFF DAVIS HWY (N) - RESURFACING,Richmond,Michael.Campbell@vdot.virginia.gov,Allan Myers Va Inc,R,G,327000,277951,2019-08-21
113441,113441,RTE 144 (Temple Ave)Resurfacing (Conduit Rd to Limits),Colonial Heights,Evan.Austin@vdot.virginia.gov,Allan Myers,G,G,555777,528446,2019-06-01
113475,113475,ROAD & STORM SEWER IMPROVEMENTS (MAIN & MILL STREETS),Dayton,Michael.Fulcher@VDOT.Virginia.gov,"A&J Development & Excavation, Inc",G,G,632693,208224,2021-06-26
113482,113482,#SGR19LP - RT 10 - E. RANDOLPH ST. SGR ,Hopewell,James.Shepherd@vdot.virginia.gov,Lee Hy Paving Corporation,G,G,178000,178000,2019-07-31
113485,113485,#SGR19LP - BUS 58 - RESURFACING (RIVERSIDE DRIVE),Danville,Bhavesh.Shah@vdot.virginia.gov,Adams Construction,G,G,287520,214666,2019-06-30
113511,113511,FKEY 538 BUS 29 - RESURFACING (WARDS ROAD),Lynchburg,Gregg.Allen@vdot.virginia.gov,Boxley Materials,G,G,315489,29763,2019-11-21
113513,113513,#SGR19LP - RT 144 (Temple Ave) Resurfacing (Blvd to Conduit),Colonial Heights,Evan.Austin@vdot.virginia.gov,Allan Myers,G,G,212666,164446,2019-06-01
113568,113568,Roanoke River Greenway Bridge across Barnhardt Creek,Roanoke,Cheryl.Becker@vdot.virginia.gov,MB Contractors,G,G,597402,350000,2021-06-21
113484,113484,#SGR19LP - BUS 29 - RESURFACING (CENTRAL BOULEVARD),Danville,sharon.white@vdot.virginia.gov,Adams Construction,G,G,236295,220377,2019-06-30
113510,113510,,Lynchburg,Gregg.Allen@vdot.virginia.gov,Boxley Materials,G,G,684511,62169,2019-11-21
113512,113512,(FKEY 218) BUS 29 - RESURFACING (MEMORIAL DRIVE) ,Danville,Bhavesh.Shah@vdot.virginia.gov,Adams Construction,G,G,244955,190834,2019-06-30
113544,113544,CITYWIDE - INSTALL HIGH VISIBILITY TRAFFIC SIGNAL BACKPLATES,Danville,sharon.white@VDOT.Virginia.gov,McClain,G,G,35727,35727,2021-05-03
113580,113580,PRIMARY EXTENSION RECONSTRUCTION - 324 DIXON STREET,Fredericksburg,Richard.Spurlock@VDOT.Virginia.gov,Fredericksburg Asphalt,G,G,206473,170207,2019-09-30
113610,113610,FAIR LAKES BOULEVARD WALKWAY,Fairfax County,Rita.Hockman@vdot.virginia.gov,"M&F Concrete, Inc.",G,G,169662,68000,2021-08-30
113616,113616,MANASSAS CITY PRIMARY EXTENSION PAVING FY19 - SUDLEY ROAD,Manassas,Rita.Hockman@vdot.virginia.gov,Branscome Paving,G,G,251365,259641,2019-12-31
113618,113618,FAIRFAX CITY PRIMARY EXTENSION PAVING FY19 - MAIN STREET,Fairfax,rita.hockman@vdot.virginia.gov,Branscome Paving,R,G,385482,231971,2019-09-01
113574,113574,#SGR19LP - RECONSTRUCTION - 311 LAFAYETTE BLVD,Fredericksburg,Richard.Spurlock@VDOT.Virginia.gov,Fredericksburg Asphalt,G,G,483444,346244,2019-09-30
113581,113581,RECONSTRUCTION - 312 LAFAYETTE BLVD,Fredericksburg,Richard.Spurlock@VDOT.Virginia.gov,Fredericksburg Asphalt,G,G,57472,34723,2019-09-30
113615,113615,MANASSAS CITY PRIMARY EXTENSION PAVING FY19 - SUDLEY ROAD,Manassas,Rita.Hockman@vdot.virginia.gov,Branscome Paving,G,G,30164,35164,2019-12-31
113617,113617,MANASSAS CITY PRIMARY EXTENSION PAVING FY19 - DUMFRIES ROAD,Manassas,Rita.Hockman@vdot.virginia.gov,Branscome Paving,R,G,155846,168730,2019-12-31
113620,113620,ALEXANDRIA PRIMARY EXTENSION PAVING FY19 - DUKE ST EB,Alexandria,Ed.DelRio@VDOT.Virginia.gov,The Lane Construction Corporation,G,G,250000,311494,2018-11-16
113622,113622,#SGR19LP - ALEXANDRIA PRIMARY EXT PAVING FY19 - DUKE ST WB,Alexandria,rita.hockman@vdot.virginia.gov,The Lane Corporation,G,G,500000,500000,2018-11-16
113686,113686,FEDERAL STREET SHARED USE PATH,Harrisonburg,Jamison.Brown@vdot.virginia.gov,Partners Excavating Company,G,G,348616,348201,2020-11-30
113691,113691,"#SGR19LP - Kempsville Road, Segment 3",Chesapeake,John.Alcaide@vdot.virginia.gov,Blythe Construction Inc,R,G,171000,164983,2020-04-30
113619,113619,LEESBURG PRIMARY EXTENSION PAVING FY19 - S. KING STREET,Leesburg,Rita.Hockman@vdot.virginia.gov,F. O. Day Construction,G,G,380990,330080,2019-06-30
113621,113621,#SGR19LP - FAIRFAX PRIMARY EXT PAVING FY19 - FAIRFAX BLVD,Fairfax,rita.hockman@vdot.virginia.gov,Branscome Paving,R,R,113452,251751,2019-07-15
113685,113685,PARK ROAD PEDESTRIAN IMPROVEMENTS,Harrisonburg,Michael.Fulcher@VDOT.Virginia.gov,City of Harrisonburg,G,G,156639,0,2021-09-01
113690,113690,"#SGR19LP - Kempsville Road, Segment 2",Chesapeake,John.Alcaide@vdot.virginia.gov,Blythe Construction Inc,R,G,418400,316747,2020-04-30
113703,113703,#SGR19LP - Primary Extension RT 58 Eastbound,Nansemond County extinct - City of Suffolk (2006),John.Alcaide@vdot.virginia.gov,Bransome,R,G,213000,126467,2019-07-01
113705,113705,"#SGR19LP - Primary Extension RT 58 Westbound, Segment 2",Nansemond County extinct - City of Suffolk (2006),John.Alcaide@vdot.virginia.gov,Branscome,R,G,338000,269103,2019-07-01
113718,113718,#SGR19LP - Virginia Beach Blvd Eastbound Mill and Overlay,Virginia Beach,Marci.Thompson@vdot.virginia.gov,Virginia Paving Company,G,G,498029,459663,2019-06-30
113720,113720,#SGR19LP - Primary EXT Paving - Kecoughtan Rd/ Settlers Lnd,Hampton,Derrick.Williams@vdot.virginia.gov,Pembroke CN & Basic CN,G,G,240000,164093,2020-03-09
113692,113692,"Kempsville Road, Segment 1",Chesapeake,John.Alcaide@vdot.virginia.gov,Blythe Construction INc,R,G,407600,322515,2020-04-30
113704,113704,"#SGR19LP - Primary Extension RT 58 Westbound, Segment 3",Nansemond County extinct - City of Suffolk (2006),John.Alcaide@vdot.virginia.gov,Branscome,R,G,337000,207614,2019-07-01
113706,113706,"#SGR19LP - Primary Extension RT 58 Westbound, Segment 1",Nansemond County extinct - City of Suffolk (2006),John.Alcaide@vdot.virginia.gov,branscome,R,G,337000,322731,2019-07-01
113719,113719,#SGR19LP - Virginia Beach Blvd Westbound Mill and Overlay,Virginia Beach,Marci.Thompson@vdot.virginia.gov,Virginia Paving Company,G,G,520604,402474,2019-06-30
113723,113723,Primary Extension Paving - Hampton Blvd/ Bolling Ave. ,Norfolk,Derrick.Williams@vdot.virginia.gov,Virginia Paving,G,G,261541,197500,2019-08-23
113725,113725,#SGR19LP - Primary EXT Paving - Hampton Blvd/ BR/ 49St.,Norfolk,Derrick.Williams@vdot.virginia.gov,Virginia Paving,G,G,439275,314687,2019-08-23
113761,113761,South Main Street Primary Extension Paving,Marion,Tabitha.Crowder@vdot.virginia.gov,W-L Construction & Paving,G,G,260604,260604,2019-06-28
113763,113763,#SGR19LP - PORTRFIELD HIGHWAY PRIMARY EXTENSION PAVING,Abingdon,Tabitha.Crowder@vdot.virginia.gov,W-L Construction and Paving Inc,G,G,150000,142642,2018-12-21
113722,113722,Primary Extension Paving - Hampton Blvd/ 39th St. ,Norfolk,Derrick.Williams@vdot.virginia.gov,Virginia Paving,G,G,336611,267180,2019-08-23
113724,113724,#SGR19LP - Primary EXT Paving -Hampton Blvd / 39 St  / 49 St,Norfolk,Derrick.Williams@vdot.virginia.gov,Virginia Paving,G,G,241090,175000,2019-08-23
113760,113760,Lee Highway Primary Extension Paving,Bristol,Tabitha.Crowder@vdot.virginia.gov,W-L Construction & Paving,G,G,144000,144000,2019-06-30
113762,113762,North Main Street Primary Extension Paving,Marion,Tabitha.Crowder@vdot.virginia.gov,W-L Construction & Paving,G,G,248828,248828,2019-06-28
113816,113816,Yorktown Road 728 Mill and Overlay,Newport News,Chessica.Villaflores@vdot.virginia.gov,Basic Construction Company LLC,R,G,97485,97485,2019-01-08
113826,113826,City of Suffolk Emergency Vehicle Preemption Deployment,Nansemond County extinct - City of Suffolk (2006),John.Alcaide@vdot.virginia.gov,Dagan Electric,Y,G,126475,67077,2021-04-17
113829,113829,Primary Extension Paving - Victoria Blvd(eastbound),Hampton,Derrick.Williams@vdot.virginia.gov,Pembroke CN & Basic CN,G,G,325000,206258,2020-03-12
113862,113862,Resurface Middlebrook Ave (Rte. 252) - Primary Extension,Staunton,Michael.Fulcher@VDOT.Virginia.gov,B & S Contracting,G,G,188000,168252,2019-06-30
113815,113815,#SGR19LP - Oyster Point Road Mill and Overlay,Newport News,Chessica.Villaflores@vdot.virginia.gov,Basic Construction Company LLC,R,G,653867,447839,2019-01-02
113817,113817,Yorktown Road 729 Milling and Overlay,Newport News,Chessica.Villaflores@vdot.virginia.gov,"BASIC CONSTRUCTION CO.,L.L.C",R,G,3605820,113037,2019-12-16
113828,113828,Traffic Signal System Preemption Upgrade,Chesapeake,John.Alcaide@vdot.virginia.gov,Bryant-Ritter Electric Company,G,G,239548,217176,2021-03-25
113856,113856,Primary Extension Paving - Victoria Blvd (westbound),Hampton,Derrick.Williams@vdot.virginia.gov,Pembroke CN & Basic CN,G,G,325000,217852,2020-03-12
113864,113864,Resurface Statler Blvd (Rte. 261S) - Primary Extension,Staunton,Michael.Fulcher@VDOT.Virginia.gov,B & S Contracting,G,G,235000,231933,2019-06-30
113884,113884,Cummings Street Primary Extension Paving,Abingdon,Tabitha.Crowder@vdot.virginia.gov,W-L Construction and Paving Inc,G,G,200000,172023,2018-12-21
114378,114378,Cove Road & Dansbury Drive Drainage Improvements,Roanoke,Cheryl.Becker@vdot.virginia.gov,Aaron J. Conner,R,R,829896,1070730,2019-12-03
114388,114388,Citywide ITS Upgrades- Multi Locations- CN Phase,Newport News,Chessica.Villaflores@vdot.virginia.gov,Multiple,G,G,1003178,889377,2021-08-31
113863,113863,Resurface Statler Blvd (Rte. 261N) - Primary Extension,Staunton,Michael.Fulcher@VDOT.Virginia.gov,B & S Contracting,G,R,57000,97317,2019-06-30
113883,113883,Virginia Avenue Primary Extension Paving,Bluefield,Tabitha.Crowder@vdot.virginia.gov,W&L Construction,G,G,313103,313103,2020-10-09
114241,114241,HISTORIC GORDONSVILLE DEPOT - C503 EXTERIOR RESTORATION,Gordonsville,John.Price@VDOT.Virginia.gov,Paisley Kerr LLC,R,R,314928,357138,2020-12-02
114379,114379,Graybill Road Drainage Improvements,Roanoke,Cheryl.Becker@vdot.virginia.gov,"F & B Contractors, LTD",R,G,286209,286209,2019-10-26
114576,114576,Streetscape Enhancement Project - Phase III,Strasburg,Jamison.Brown@vdot.virginia.gov,Lantz Construction of Winchester,G,G,1080292,79293,2021-08-12
114631,114631,RICHMOND MARINE TERMINAL - EMERGENCY BULKHEAD REAPAIR,Richmond,brian.lokker@vdot.virginia.gov,Marine Contracting Corporation,R,R,621835,531526,2020-10-13
114652,114652,RUSSELL ROAD-INSTALL SIGNALIZED CROSSWALK,Abingdon,Roger.Musser@VDOT.Virginia.gov,Kens Construction Company,G,G,48075,17340,2020-12-01
114670,114670,RECTANGULAR RAPID FLASHING BEACONS ON WASHINGTON BLVD ,Arlington County,rita.hockman@vdot.virginia.gov,Electrifiers Inc,R,G,93115,86259,2020-06-16
114536,114536,FAUQUIER COUNTY - WARRENTON BRANCH GREENWAY,Fauquier County,John.Price@VDOT.Virginia.gov,"Shirley Contracting Company, LLc",G,G,723008,0,2021-11-30
114619,114619,RTE 29/120 LEE HWY INTX IMPR AT N. GLEBE RD,Arlington County,Susie.Lue@vdot.virginia.gov,"Rustler Construction, Inc",G,G,3374326,1171312,2021-09-23
114651,114651,PARK AVE.-CROSSWALK & PEDESTRIAN SIGNAL IMPROVEMENTS,Norton,KR.Plummer@VDOT.Virginia.gov,DCI Shires Inc,G,G,328860,203002,2021-07-26
114665,114665,ELECTRIC VEHICLE CHARGING STATIONS - PURCHASE & INSTALL,Fairfax,rita.hockman@vdot.virginia.gov,Mona Electric / SEMA Connect,R,G,36070,35565,2020-08-01
114672,114672,RECTANGULAR RAPID FLASHING BEACON AT LEE HWY & N NELSON ST,Arlington County,rita.hockman@vdot.virginia.gov,Electrifiers Inc,R,G,46557,33610,2020-06-16
114721,114721,Little Creek Corridor (PSAP),Norfolk,Derrick.Williams@vdot.virginia.gov,American Road Markings,G,G,34763,29832,2020-11-02
115092,115092,#SGR20LP - NoRTh Main Street Primary Extension Paving,Marion,John.bechtold@vdot.virginia.gov,W&L Construction,G,G,525000,547984,2020-06-01
115094,115094,Euclid Avenue Primary Extension Paving,Bristol,Tabitha.Crowder@vdot.virginia.gov,W-L Construction Company,G,G,221750,221750,2020-06-30
114671,114671,RECTANGULAR RAPID FLASHING BEACON GEORGE MASON DR & 4TH ST N,Arlington County,rita.hockman@vdot.virginia.gov,Electrifiers Inc,R,G,46557,32730,2020-06-16
114701,114701,PSAP - Pedestrian Facility Improvements in Richmond,Richmond,brian.lokker@vdot.virginia.gov,"B & B signal Company, LLC",Y,G,1418313,514399,2021-04-08
114765,114765,PEDESTRIAN SIGNAL UPGRADES - CITY OF ROANOKE,Roanoke,Cheryl.Becker@vdot.virginia.gov,City of Roanoke,G,G,230000,154424,2021-04-15
115093,115093,Cumberland Street Primary Extension Paving,Bristol,Tabitha.Crowder@vdot.virginia.gov,W-L Construction Company,G,G,61400,61400,2020-06-30
115096,115096,Coeburn Avenue S.W. Primary Extension Paving,Norton,john.bechtold@vdot.virginia.gov,W&L Construction,G,G,167645,166174,2020-06-03
115098,115098,West Riverside Drive Primary Extension Paving,Tazewell,Tabitha.Crowder@vdot.virginia.gov,W&L Construction,G,G,125843,125843,2019-11-26
115100,115100,Lee Highway Primary Extension Paving,Bristol,Tabitha.Crowder@vdot.virginia.gov,W-L Construction Company,G,G,115030,115030,2020-06-30
115104,115104,#SGR20LP - SOUTH MAGNOLIA AVENUE Primary Extension Paving ,Buena Vista,Michael.Branscome@VDOT.Virginia.gov,Adams Construction Company,R,G,135303,135883,2020-11-20
115095,115095,West Lee Highway Primary Extension Paving,Wytheville,Tabitha.Crowder@vdot.virginia.gov,W&L Construction,G,G,96914,96914,2020-03-02
115097,115097,Virginia Avenue Primary Extension Paving,Bluefield,Tabitha.Crowder@vdot.virginia.gov,W&L Construction,G,G,165813,165813,2020-05-03
115099,115099,Lee Highway Primary Extension Paving,Bristol,Tabitha.Crowder@vdot.virginia.gov,W-L Construction Company,G,G,224000,224000,2020-06-30
115103,115103,#SGR20LP - NORTH SHENANDOAH AVE Primary Extension Paving,Front Royal,Steven.Damron@VDOT.Virginia.gov,Arthur Construction,G,G,121000,114391,2021-05-20
115106,115106,NORTH MAIN STREET -  Primary Extension Paving ,Lexington,Michael.Branscome@VDOT.Virginia.gov,"PavCon Group, Inc.",G,G,33890,33890,2020-06-30
115108,115108,South Alleghany Avenue - Primary Extension Paving,Covington,Jamison.Brown@vdot.virginia.gov,Alleghany Asphalt,G,G,429000,429000,2020-10-19
115182,115182,"Appomattox River Trail, Phase IV",Colonial Heights,Brian.Lokker@VDOT.Virginia.gov,Dickerson,G,R,251297,292729,2020-10-15
115247,115247,City of Hopewell 475 Arlington Road and S 15th Ave,Hopewell,James.Shepherd@vdot.virginia.gov,Lee-Hy Paving Corporation,G,G,311180,270705,2021-06-30
115105,115105,#SGR20LP - WEST 29th STREET - Primary Extension Paving ,Buena Vista,Michael.Branscome@VDOT.Virginia.gov,Adams Construction Company,R,G,143797,144237,2020-11-20
115107,115107,EAST BEVERLEY STREET - Primary Extension Paving ,Staunton,Michael.Fulcher@VDOT.Virginia.gov,B & S Contracting,G,G,22625,22625,2020-05-15
115115,115115,RICHMOND AVENUE- Primary Extension Paving,Staunton,Michael.Fulcher@VDOT.Virginia.gov,B & S Contracting,G,G,129929,129929,2020-05-15
115209,115209,Commonwealth Avenue Primary Extension Paving,Bristol,Tabitha.Crowder@vdot.virginia.gov,W-L Construction Company,G,G,118000,66206,2020-06-30
115249,115249,#SGR20LP - Chippenham Parkway N(Gravel Hill Rd) - Resurface,Richmond,brian.lokker@vdot.virginia.gov,Lee Hy Paving Corporation,R,G,76509,76509,2020-09-11
115251,115251,Rte 60 W Roanoke St _ Resurfacing ,Richmond,brian.lokker@vdot.virginia.gov,Lee Hy Paving Corporation,G,G,146662,146662,2020-09-11
115253,115253,Westover Hill Blvd (N) - Resurfacing,Richmond,brian.lokker@vdot.virginia.gov,Lee Hy Paving Corporation,G,G,186910,186910,2020-09-11
115269,115269,WATERLOO STREET - PRIMARY EXTENSION PAVING,Warrenton,John.Price@VDOT.Virginia.gov,Finley Asphalt & Sealing,G,G,320241,320241,2020-06-30
115248,115248,#SGR20LP - US HWY 1 (Boulevard) Resurfacing,Colonial Heights,Evan.Austin@vdot.virginia.gov,Colony,G,G,597777,643668,2020-06-26
115250,115250,#SGR20LP - Chippenham Parkway N (Archdale) - Resurfacing,Richmond,brian.lokker@vdot.virginia.gov,Lee Hy Paving Corporation,R,G,188271,188271,2020-09-11
115252,115252,Westover Hill Blvd (S) - Resurfacing,Richmond,brian.lokker@vdot.virginia.gov,Lee Hy Paving Corporation,G,G,208168,208168,2020-09-11
115268,115268,#SGR20LP - EMMET ST. SOUTH - PRIMARY EXTENSION PAVING,Charlottesville,MichaelD.Barnes@vdot.virginia.gov,S.L. Williamson Company Inc.,G,G,290995,272155,2020-08-14
115271,115271,BUS 501 - (ID 5545) RESURFACING (RIVERMONT AVE/BOONSBORO RD),Lynchburg,sharon.white@vdot.virginia.gov,Boxley,G,G,310241,310241,2020-09-30
115274,115274,#SGR20LP - RT 293 - (ID 5415) RESURFACING (MAIN STREET),Danville,John.Neblett@VDOT.Virginia.gov,Adams Construction,G,G,177858,177858,2020-04-01
115276,115276,RTE 129 - (ID 5483) RESURFACING (NORTH MAIN STREET),South Boston,sharon.white@vdot.virginia.gov,Adams Construction Company,G,G,196303,196303,2020-08-07
115295,115295,#SGR20LP - PRIMARY EXT PAVING FY20 - SEMINARY ROAD E/B - 47,Alexandria,Rita.Hockman@vdot.virginia.gov,"Blythe Construction, Inc",G,G,205000,205000,2020-01-31
115270,115270,MONTICELLO AVE. - PRIMARY EXTENSION PAVING,Charlottesville,MichaelD.Barnes@vdot.virginia.gov,S.L. Williamson Company  Inc.,G,G,334083,334083,2020-08-07
115273,115273,RTE 163 - (ID 5543) RESURFACING (MEMORIAL AVE),Lynchburg,sharon.white@vdot.virginia.gov,Boxley,R,G,253221,253671,2020-09-30
115275,115275,BUS 29 - (ID 5416) RESURFACING (MEMORIAL DRIVE),Danville,John.Neblett@VDOT.Virginia.gov,Adams Construction,G,G,41355,41355,2020-04-01
115294,115294,#SGR20LP - PRIMARY EXT FY20 JOINT REPAIR & PANEL REPLACE ,Alexandria,Rita.Hockman@vdot.virginia.gov,D&F Construction,G,G,415000,415000,2020-09-28
115297,115297,#SGR20LP - PRIMARY EXT PAVING FY20 - SEMINARY ROAD E/B - 48,Alexandria,Rita.Hockman@vdot.virginia.gov,"Blythe Construction, Inc",G,G,75000,75000,2020-01-31
115299,115299,PRIMARY EXTENSION PAVING FY20 - HILLWOOD AVE - 265,Falls Church,Rita.Hockman@vdot.virginia.gov,Espina Paving,R,G,14580,16682,2019-12-20
115302,115302,PRIMARY EXTENSION PAVING FY20 - HERNDON PARKWAY - 2442,Herndon,Rita.Hockman@vdot.virginia.gov,Va Paving Company,G,G,500000,219446,2020-08-08
115304,115304,#SGR20LP - Primary Extension - Blacksburg - S Main St,Blacksburg,Adam.Czesnowski@vdot.virginia.gov,Adams Construction Company,R,R,23641,28558,2020-06-19
115296,115296,#SGR20LP - PRIMARY EXTENSION PAVING FY20 - EAST BROAD STREET,Falls Church,Rita.Hockman@vdot.virginia.gov,Espina Paving,R,G,44966,49826,2019-12-20
115298,115298,PRIMARY EXTENSION PAVING FY20  CITY OF FAIRFAX - RTE 123 ,Fairfax,Rita.Hockman@vdot.virginia.gov,(optional),G,G,689308,500377,2020-11-22
115300,115300,PRIMARY EXTENSION PAVING FY20 - HILLWOOD AVENUE - 264,Falls Church,Rita.Hockman@vdot.virginia.gov,Espina Paving,R,G,739911,765451,2019-12-20
115303,115303,#SGR20LP - PRIMARY EXTENSION PAVING FY20 - DUKE ST WB,Alexandria,Rita.Hockman@vdot.virginia.gov,Blythe Construction dba VA Paving,G,G,285000,285000,2020-10-30
115306,115306,#SGR20LP - Primary Extension - Galax - E StuaRT Dr,Galax,Jessie.Nester@vdot.virginia.gov,Adams Construction Company,G,G,88957,78780,2020-07-15
115308,115308,Windsor Road Drainage Improvements,Roanoke,Cheryl.Becker@vdot.virginia.gov,"A.R. Coffey and Sons, Inc.",R,G,585935,0,2020-12-15
115349,115349,BUS 58 EBL - (ID 5485) RESURFACING (SOUTH BOSTON ROAD),Danville,John.Neblett@VDOT.Virginia.gov,Adams Construction,G,G,76321,76321,2020-04-01
115354,115354,#SGR20LP - Franklin Bypass,Nansemond County extinct - City of Suffolk (2006),John.Alcaide@vdot.virginia.gov,Blair Bros,G,G,382759,218735,2020-06-30
